codigo;nombre;referencia;categoria;subcategoria;ubicacion;stock;stock_min;unidad;proveedor;coste_unitario;notas;__source;qr_id;qr_url;etiqueta_pdf;actualizado
TAM12x40;Tornillo Allen M12x40mm;TAM12x40;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x40;#inventario?qr=TAM12x40;;2025-10-08T06:06:24Z
TAM12x45;Tornillo Allen M12x45mm;TAM12x45;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x45;#inventario?qr=TAM12x45;;2025-10-08T06:06:24Z
TAM12x50;Tornillo Allen M12x50mm;TAM12x50;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x50;#inventario?qr=TAM12x50;;2025-10-08T06:06:24Z
TAM12x55;Tornillo Allen M12x55mm;TAM12x55;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x55;#inventario?qr=TAM12x55;;2025-10-08T06:06:24Z
TAM12x60;Tornillo Allen M12x60mm;TAM12x60;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x60;#inventario?qr=TAM12x60;;2025-10-08T06:06:24Z
TAM12x65;Tornillo Allen M12x65mm;TAM12x65;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x65;#inventario?qr=TAM12x65;;2025-10-08T06:06:24Z
TAM12x70;Tornillo Allen M12x70mm;TAM12x70;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x70;#inventario?qr=TAM12x70;;2025-10-08T06:06:24Z
TAM12x75;Tornillo Allen M12x75mm;TAM12x75;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x75;#inventario?qr=TAM12x75;;2025-10-08T06:06:24Z
TAM12x80;Tornillo Allen M12x80mm;TAM12x80;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x80;#inventario?qr=TAM12x80;;2025-10-08T06:06:24Z
TAM12x85;Tornillo Allen M12x85mm;TAM12x85;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x85;#inventario?qr=TAM12x85;;2025-10-08T06:06:24Z
TAM12x90;Tornillo Allen M12x90mm;TAM12x90;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x90;#inventario?qr=TAM12x90;;2025-10-08T06:06:24Z
TAM12x95;Tornillo Allen M12x95mm;TAM12x95;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x95;#inventario?qr=TAM12x95;;2025-10-08T06:06:24Z
TAM14x100;Tornillo Allen M14x100mm;TAM14x100;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x100;#inventario?qr=TAM14x100;;2025-10-08T06:06:24Z
TAM14x10;Tornillo Allen M14x10mm;TAM14x10;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x10;#inventario?qr=TAM14x10;;2025-10-08T06:06:24Z
TAM14x110;Tornillo Allen M14x110mm;TAM14x110;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x110;#inventario?qr=TAM14x110;;2025-10-08T06:06:24Z
TAM14x120;Tornillo Allen M14x120mm;TAM14x120;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x120;#inventario?qr=TAM14x120;;2025-10-08T06:06:24Z
TAM14x130;Tornillo Allen M14x130mm;TAM14x130;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x130;#inventario?qr=TAM14x130;;2025-10-08T06:06:24Z
TAM14x140;Tornillo Allen M14x140mm;TAM14x140;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x140;#inventario?qr=TAM14x140;;2025-10-08T06:06:24Z
TAM14x150;Tornillo Allen M14x150mm;TAM14x150;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x150;#inventario?qr=TAM14x150;;2025-10-08T06:06:24Z
TAM14x15;Tornillo Allen M14x15mm;TAM14x15;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x15;#inventario?qr=TAM14x15;;2025-10-08T06:06:24Z
TAM14x160;Tornillo Allen M14x160mm;TAM14x160;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x160;#inventario?qr=TAM14x160;;2025-10-08T06:06:24Z
TAM14x20;Tornillo Allen M14x20mm;TAM14x20;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x20;#inventario?qr=TAM14x20;;2025-10-08T06:06:24Z
TAM14x25;Tornillo Allen M14x25mm;TAM14x25;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x25;#inventario?qr=TAM14x25;;2025-10-08T06:06:24Z
TAM14x30;Tornillo Allen M14x30mm;TAM14x30;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x30;#inventario?qr=TAM14x30;;2025-10-08T06:06:24Z
TAM14x35;Tornillo Allen M14x35mm;TAM14x35;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x35;#inventario?qr=TAM14x35;;2025-10-08T06:06:24Z
TAM14x40;Tornillo Allen M14x40mm;TAM14x40;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x40;#inventario?qr=TAM14x40;;2025-10-08T06:06:24Z
TAM14x45;Tornillo Allen M14x45mm;TAM14x45;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x45;#inventario?qr=TAM14x45;;2025-10-08T06:06:24Z
TAM14x50;Tornillo Allen M14x50mm;TAM14x50;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x50;#inventario?qr=TAM14x50;;2025-10-08T06:06:24Z
TAM14x55;Tornillo Allen M14x55mm;TAM14x55;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x55;#inventario?qr=TAM14x55;;2025-10-08T06:06:24Z
TAM14x60;Tornillo Allen M14x60mm;TAM14x60;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x60;#inventario?qr=TAM14x60;;2025-10-08T06:06:24Z
TAM14x65;Tornillo Allen M14x65mm;TAM14x65;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x65;#inventario?qr=TAM14x65;;2025-10-08T06:06:24Z
TAM14x70;Tornillo Allen M14x70mm;TAM14x70;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x70;#inventario?qr=TAM14x70;;2025-10-08T06:06:24Z
TAM14x75;Tornillo Allen M14x75mm;TAM14x75;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x75;#inventario?qr=TAM14x75;;2025-10-08T06:06:24Z
TAM14x80;Tornillo Allen M14x80mm;TAM14x80;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x80;#inventario?qr=TAM14x80;;2025-10-08T06:06:24Z
TAM14x85;Tornillo Allen M14x85mm;TAM14x85;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x85;#inventario?qr=TAM14x85;;2025-10-08T06:06:24Z
TAM14x90;Tornillo Allen M14x90mm;TAM14x90;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x90;#inventario?qr=TAM14x90;;2025-10-08T06:06:24Z
TAM14x95;Tornillo Allen M14x95mm;TAM14x95;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM14x95;#inventario?qr=TAM14x95;;2025-10-08T06:06:24Z
TAM16x100;Tornillo Allen M16x100mm;TAM16x100;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x100;#inventario?qr=TAM16x100;;2025-10-08T06:06:24Z
TAM16x10;Tornillo Allen M16x10mm;TAM16x10;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x10;#inventario?qr=TAM16x10;;2025-10-08T06:06:24Z
TAM16x110;Tornillo Allen M16x110mm;TAM16x110;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x110;#inventario?qr=TAM16x110;;2025-10-08T06:06:24Z
TAM16x120;Tornillo Allen M16x120mm;TAM16x120;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x120;#inventario?qr=TAM16x120;;2025-10-08T06:06:24Z
TAM16x130;Tornillo Allen M16x130mm;TAM16x130;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x130;#inventario?qr=TAM16x130;;2025-10-08T06:06:24Z
TAM16x140;Tornillo Allen M16x140mm;TAM16x140;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x140;#inventario?qr=TAM16x140;;2025-10-08T06:06:24Z
TAM16x150;Tornillo Allen M16x150mm;TAM16x150;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x150;#inventario?qr=TAM16x150;;2025-10-08T06:06:24Z
TAM16x15;Tornillo Allen M16x15mm;TAM16x15;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x15;#inventario?qr=TAM16x15;;2025-10-08T06:06:24Z
TAM16x160;Tornillo Allen M16x160mm;TAM16x160;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x160;#inventario?qr=TAM16x160;;2025-10-08T06:06:24Z
TAM16x20;Tornillo Allen M16x20mm;TAM16x20;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x20;#inventario?qr=TAM16x20;;2025-10-08T06:06:24Z
TAM16x25;Tornillo Allen M16x25mm;TAM16x25;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x25;#inventario?qr=TAM16x25;;2025-10-08T06:06:24Z
TAM16x30;Tornillo Allen M16x30mm;TAM16x30;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x30;#inventario?qr=TAM16x30;;2025-10-08T06:06:24Z
TAM16x35;Tornillo Allen M16x35mm;TAM16x35;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x35;#inventario?qr=TAM16x35;;2025-10-08T06:06:24Z
TAM16x40;Tornillo Allen M16x40mm;TAM16x40;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x40;#inventario?qr=TAM16x40;;2025-10-08T06:06:24Z
TAM16x45;Tornillo Allen M16x45mm;TAM16x45;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x45;#inventario?qr=TAM16x45;;2025-10-08T06:06:24Z
TAM16x50;Tornillo Allen M16x50mm;TAM16x50;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x50;#inventario?qr=TAM16x50;;2025-10-08T06:06:24Z
TAM16x55;Tornillo Allen M16x55mm;TAM16x55;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x55;#inventario?qr=TAM16x55;;2025-10-08T06:06:24Z
TAM16x60;Tornillo Allen M16x60mm;TAM16x60;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x60;#inventario?qr=TAM16x60;;2025-10-08T06:06:24Z
TAM16x65;Tornillo Allen M16x65mm;TAM16x65;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x65;#inventario?qr=TAM16x65;;2025-10-08T06:06:24Z
TAM16x70;Tornillo Allen M16x70mm;TAM16x70;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x70;#inventario?qr=TAM16x70;;2025-10-08T06:06:24Z
TAM16x75;Tornillo Allen M16x75mm;TAM16x75;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x75;#inventario?qr=TAM16x75;;2025-10-08T06:06:24Z
TAM16x80;Tornillo Allen M16x80mm;TAM16x80;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x80;#inventario?qr=TAM16x80;;2025-10-08T06:06:24Z
TAM16x85;Tornillo Allen M16x85mm;TAM16x85;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM16x85;#inventario?qr=TAM16x85;;2025-10-08T06:06:24Z
